Temperature (C);Location;Wind Speed (km/h);Visibility (km);Cloud Cover;Pressure (millibars);Humidity;Sunshine;Cloud;RainToday
9.472222222;Albury;14.1197;15.8263;0;1015.13;0.89;NA;8;No
9.355555556;Albury;14.2646;15.8263;0;1015.63;0.86;NA;NA;No
9.377777778;Albury;3.9284;14.9569;0;1015.94;0.89;NA;NA;No
8.288888889;Albury;14.1036;15.8263;0;1016.41;0.83;NA;NA;No
8.755555556;Albury;11.0446;15.8263;0;1016.51;0.83;NA;7;No
9.222222222;Albury;13.9587;14.9569;0;1016.66;0.85;NA;NA;No
7.733333333;Albury;12.3648;9.982;0;1016.72;0.95;NA;1;No
8.772222222;Albury;14.1519;9.982;0;1016.84;0.89;NA;NA;No
10.82222222;Albury;11.3183;9.982;0;1017.37;0.82;NA;NA;No
13.77222222;Albury;12.5258;9.982;0;1017.22;0.72;NA;NA;Yes
16.01666667;Albury;17.5651;11.2056;0;1017.42;0.67;NA;NA;No
17.14444444;Albury;19.7869;11.4471;0;1017.74;0.54;NA;8;Yes
17.8;Albury;21.9443;11.27;0;1017.59;0.55;NA;8;Yes
17.33333333;Albury;20.6885;11.27;0;1017.48;0.51;NA;NA;Yes
18.87777778;Albury;15.3755;11.4471;0;1017.17;0.47;NA;0;NA
18.91111111;Albury;10.4006;11.27;0;1016.47;0.46;NA;8;No
15.38888889;Albury;14.4095;11.27;0;1016.15;0.6;NA;8;Yes
15.55;Albury;11.1573;11.4471;0;1016.17;0.63;NA;NA;Yes
14.25555556;Albury;8.5169;11.2056;0;1015.82;0.69;NA;NA;No
13.14444444;Albury;7.6314;11.2056;0;1015.83;0.7;NA;NA;No
11.55;Albury;7.3899;11.0285;0;1015.85;0.77;NA;NA;No
11.18333333;Albury;4.9266;9.982;0;1015.77;0.76;NA;NA;No
10.11666667;Albury;6.6493;15.8263;0;1015.4;0.79;NA;5;No
10.2;Albury;3.9284;14.9569;0;1015.51;0.77;NA;NA;No
10.42222222;Albury;16.9855;15.8263;0;1014.4;0.62;NA;NA;No
9.911111111;Albury;17.2109;15.8263;0;1014.2;0.66;NA;NA;No
11.18333333;Albury;10.8192;14.9569;0;1008.71;0.8;NA;NA;No
7.155555556;Albury;11.0768;15.8263;0;1014.47;0.79;NA;NA;No
6.111111111;Albury;6.6493;15.8263;0;1014.45;0.82;NA;8;Yes
6.788888889;Albury;13.0088;14.9569;0;1014.49;0.83;NA;1;No
7.261111111;Albury;11.1734;6.1985;0;1014.52;0.85;NA;NA;No
7.8;Albury;12.8156;8.05;0;1014.16;0.83;NA;NA;No
9.872222222;Albury;13.7494;9.982;0;1014.24;0.78;NA;NA;No
12.22222222;Albury;15.6331;9.982;0;1014.25;0.72;NA;NA;No
15.09444444;Albury;17.549;9.982;0;1013.96;0.61;NA;NA;No
17.35555556;Albury;22.7815;9.982;0;1013.85;0.52;NA;NA;No
19.00555556;Albury;23.8924;9.982;0;1013.04;0.46;NA;NA;No
20.04444444;Albury;28.3682;9.982;0;1012.22;0.4;NA;NA;No
21.05;Albury;26.9031;10.3523;0;1011.44;0.4;NA;NA;No
21.18333333;Albury;25.6956;9.982;0;1010.52;0.37;NA;NA;No
20.11666667;Albury;25.3092;9.982;0;1009.83;0.4;NA;NA;No
20.21666667;Albury;18.1125;10.3523;0;1009.26;0.36;NA;NA;No
20;Albury;23.4255;9.982;0;1008.76;0.43;NA;NA;No
17.8;Albury;20.0445;11.2056;0;1008.36;0.5;NA;NA;No
16.06111111;Albury;21.3969;9.982;0;1008.11;0.53;NA;NA;No
15.02222222;Albury;21.3808;9.982;0;1008.15;0.55;NA;NA;No
14.42222222;Albury;20.0123;15.8263;0;1007.85;0.58;NA;NA;No
14.25555556;Albury;16.5025;14.9569;0;1007.89;0.59;NA;NA;No
13.77222222;Albury;17.0982;15.8263;0;1007.36;0.6;NA;NA;No
13.28333333;Albury;14.3612;15.8263;0;1007.26;0.63;NA;NA;No
8.633333333;Albury;22.0409;6.6976;0;1005.1;0.87;NA;NA;No
11.25;Albury;11.3344;15.8263;0;1007.01;0.83;NA;4;No
11.18333333;Albury;11.2056;9.9015;0;1006.73;0.89;NA;NA;Yes
10.69444444;Albury;10.4006;6.6976;0;1006.59;0.95;NA;NA;No
11.11111111;Albury;12.0106;5.9731;0;1006.34;0.93;NA;NA;No
11.11111111;Albury;9.2092;10.8031;0;1006.09;0.93;NA;NA;No
12.16666667;Albury;9.9015;10.6743;0;1005.97;0.82;NA;NA;No
12.75555556;Albury;13.8299;10.8192;0;1005.63;0.79;NA;NA;No
13.83888889;Albury;9.0965;10.8192;0;1005.83;0.84;NA;NA;No
16.18333333;Albury;0.644;10.7548;0;1005.97;0.73;NA;NA;No
17.51666667;Albury;0.6762;10.8997;0;1005.64;0.67;NA;NA;No
17.38333333;Albury;3.864;10.8514;0;1005.2;0.67;NA;NA;No
17.36111111;Albury;7.8246;11.0768;0;1005.1;0.71;NA;NA;No
17.20555556;Albury;15.5848;10.8514;0;1004.65;0.74;NA;NA;No
15.63333333;Albury;23.6992;10.8836;0;1004.04;0.81;NA;NA;No
13.57777778;Albury;20.9622;7.6153;0;1004.08;0.9;NA;NA;No
10.91111111;Albury;22.3951;2.6565;0;1004.61;0.86;NA;NA;No
8.8;Albury;26.5006;2.6565;0;1004.99;0.99;NA;NA;No
8.961111111;Albury;23.2162;3.8157;0;1004.85;0.93;NA;NA;No
8.2;Albury;25.4219;4.4919;0;1004.96;0.96;NA;7;No
7.688888889;Albury;28.1267;4.4436;0;1005.14;0.96;NA;NA;No
7.766666667;Albury;19.2878;5.6833;0;1005.05;0.96;NA;NA;No
8.2;Albury;20.447;3.1073;0;1004.8;0.96;NA;2;No
8.177777778;Albury;27.8691;3.2039;0;1004.89;0.93;NA;NA;Yes
7.311111111;Albury;6.7459;14.0553;0;1007;0.82;NA;NA;No
7.644444444;Albury;14.9086;6.118;0;1004.3;0.93;NA;NA;No
6.622222222;Albury;25.0355;6.118;0;1003.68;0.93;NA;NA;No
6.683333333;Albury;19.8352;6.1663;0;1003.86;0.93;NA;NA;No
6.088888889;Albury;28.0945;7.9695;0;1003.57;0.93;NA;NA;No
6.066666667;Albury;27.9818;6.3434;0;1003.96;0.93;NA;NA;No
6.144444444;Albury;30.8637;10.5455;0;1004.1;0.93;NA;NA;No
7.133333333;Albury;32.1678;11.2056;0;1004.26;0.8;NA;NA;No
7.205555556;Albury;26.5328;11.27;0;1004.18;0.86;NA;NA;No
7.566666667;Albury;28.336;10.5455;0;1004.23;0.84;NA;NA;No
8.9;Albury;29.8333;11.27;0;1004.47;0.77;NA;6;No
9.961111111;Albury;28.4809;11.27;0;1004.52;0.71;NA;7;No
9.888888889;Albury;28.5131;11.0768;0;1004.29;0.71;NA;NA;No
11.06666667;Albury;25.6956;11.27;0;1003.93;0.71;NA;NA;No
10.11666667;Albury;25.3414;11.27;0;1004;0.76;NA;NA;No
11.03888889;Albury;21.413;9.982;0;1004.3;0.66;NA;NA;No
10.65;Albury;17.8549;14.9086;0;1004;0.7;NA;NA;No
10.05;Albury;15.1984;9.982;0;1004.39;0.7;NA;5;No
9.9;Albury;15.7297;11.0285;0;1005.48;0.66;NA;NA;No
8.794444444;Albury;12.3648;9.982;0;1005.89;0.71;NA;NA;No
7.827777778;Albury;13.8943;15.8263;0;1006.37;0.72;NA;NA;No
7.855555556;Albury;9.8049;15.0052;0;1006.56;0.72;NA;NA;No
7.316666667;Albury;6.6654;15.8746;0;1007.07;0.75;NA;NA;No
7.244444444;Albury;7.1162;15.8746;0;1007.37;0.75;NA;NA;No
5.438888889;Albury;3.7191;9.982;0;1012.23;0.88;NA;NA;No
7.2;Albury;14.4739;15.8263;0;1007.28;0.76;NA;NA;Yes
6.688888889;Albury;20.5275;15.8263;0;1007.18;0.7;NA;NA;No
6.211111111;Albury;19.3039;14.9569;0;1007.39;0.73;NA;8;Yes
6.111111111;Albury;17.4363;9.982;0;1007.67;0.76;NA;NA;Yes
6.111111111;Albury;20.4148;9.982;0;1007.98;0.76;NA;NA;Yes
6.172222222;Albury;17.0499;9.982;0;1008.57;0.76;NA;NA;No
7.222222222;Albury;20.5114;9.982;0;1008.87;0.71;NA;NA;No
7.288888889;Albury;17.6456;9.982;0;1009.44;0.73;NA;NA;No
